ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
hle	-0.09032274924383715	0.04512840172882354	-0.08127873375684122	0.03344818211790706
huc	-0.09093857341420145	-1.7955583488767757	-0.08166676165699083	-1.7999336801615977
hoa	-0.09092088440997588	-0.9917954491981361	-0.0816556158990039	-0.9993605672410139
hoo	-0.09030218063427255	0.0548910930121155	-0.08126577357313548	0.04317212950870176
juh	-0.09065184699687084	-0.18177987647492921	-0.08148609669613292	-0.19255959542651327
how	-0.08518059685268575	0.7101737863668762	-0.07803868783040831	0.6958542897225551
hoc	-0.03252495636729545	1.4000014897954791	-0.04486061754373521	1.3829443658301952
hop	-0.09068969323846972	-0.22372873510210808	-0.08150994343415148	-0.23434197720608196
ero	-0.08908863266996082	0.37223239974100547	-0.08050112273449732	0.3592540460637076
hot	-0.09075469004469387	-0.3133141320299065	-0.08155089761466158	-0.3235718485019437
hoz	-0.09069298421600006	-0.22767191387337715	-0.08151201706354438	-0.23826950720899623
hru	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
nmn; nmn	-0.0908369644829523	-0.48827759468432175	-0.08160273834948452	-0.4978409569674038
qub	-0.08995662799358717	0.1838236729578656	-0.08104804248687919	0.17159303189835
hub	-0.09052020789565737	-0.06969516474655182	-0.08140315152041624	-0.08091969936379378
var	-0.09085383074279527	-0.5415900892622588	-0.08161336570012322	-0.5509418773493788
hus	-0.08378193140229258	0.7749091277996455	-0.07715739533841855	0.7603327246285825
hbb	-0.07707656468423116	0.971732539681572	-0.07293237545035001	0.9563750296528184
hch	-0.08878010352649174	0.41813058021141836	-0.08030671997891134	0.40497007653896405
hul	-0.09073412143512927	-0.2819491338825217	-0.08153793743095586	-0.29233132444486215
huy	-0.0909254095040801	-1.0729669638956008	-0.08165846713941916	-1.0802099473602131
hui	-0.08271236370493308	0.81637487319454	-0.0764834657857205	0.8016339104430007
hmb; hmb	-0.08991137705254504	0.19722131259541675	-0.08101953008272658	0.18493750210804855
hun; hun; hun; hun; hun; hun; hun; hun; hun	0.404208330517975	2.036389006221	0.2303229630800655	2.0168063358866344
hnu; hnu	-0.09076991081577168	-0.3388555759594289	-0.08156048815060382	-0.349011929505085
huz; huz	-0.09088139267961184	-0.6566073335573349	-0.0816307323462889	-0.6655026680274154
jup; jup	-0.0908682287694905	-0.5961336600204625	-0.08162243782871723	-0.6052689883035642
huo	-0.09089867031164611	-0.7609291543097203	-0.0816416189006017	-0.7694104806655356
jab	-0.07859864179201197	0.9371036139859882	-0.07389142904457416	0.9218835311620402
iai	-0.09077196767672814	-0.3424814723896098	-0.0815617841689744	-0.35262343632307597
yml	-0.09079665000820566	-0.38983119099077046	-0.08157733638942127	-0.3997852444030468
ian	-0.09059260940132478	-0.12608547415369442	-0.08144877136706041	-0.13708622006122922
ibl	-0.08616789011178683	0.6541807463635231	-0.07866077664828341	0.6400834618387429
iba; iba; iba	-0.05873759239642881	1.2226782003496648	-0.04323281847029531	1.395778660565417
ibg	-0.07954479783198383	0.9133532833679263	-0.07448759749503782	0.8982274553175382
ivb	-0.0908887973790551	-0.6969362573626007	-0.08163539801242295	-0.7056715438046219
ibb	0.1509470409489864	1.8230812857084913	0.18738587446297647	1.9728948637323447
isl	-0.07859864179201197	0.9371036139859882	-0.07389142904457416	0.9218835311620402
dbj	-0.09052843533948321	-0.07559091098129814	-0.08140833559389854	-0.08679204793577663
idi	-0.09087357660797729	-0.6192407997504136	-0.08162580747648071	-0.6282844258059597
idu	-0.05280560539799656	1.273021452900663	-0.05763935867758664	1.256468257693955
clk; clk	-0.09077196767672814	-0.3424814723896098	-0.0815617841689744	-0.35262343632307597
viv	-0.09069298421600006	-0.22767191387337715	-0.08151201706354438	-0.23826950720899623
ign	-0.09089537933411578	-0.7380356591850332	-0.08163954527120879	-0.746607839905517
ikx	-0.09036388646296636	0.024586851523015704	-0.08130465412425268	0.01298815242624913
ilb	-0.08752953206496371	0.5541494735339435	-0.07951874080960286	0.5404491697973919
mbi	-0.09033920413148884	0.03708102493749725	-0.08128910190380581	0.025432741878935104
ilu	-0.09088221542399443	-0.6608278852327916	-0.08163125075363713	-0.6697064701616187
ilo	0.17110427832229988	1.8469143930610332	0.0834452011430084	1.8280836653857366
ilk	-0.09070491400954753	-0.24242030606774387	-0.08151953397009372	-0.25295936942375946
qvi	-0.08476922466139364	0.7307166125683482	-0.07777948415629367	0.7163155903460031
imn	-0.09092952322599301	-1.172814104290038	-0.0816610591761603	-1.1796608377082907
inp	-0.0909396429818988	-2.3388269053571267	-0.08166743558654352	-2.341046239085677
ind	1.669733171199463	2.414119232772384	5.050565208201731	2.8473073739758483
inb; inj	-0.08973860073220236	0.24345882230359403	-0.08091066453959844	0.23099151517032243
izh	-0.09093487106447981	-1.3900746830975137	-0.0816644288239238	-1.396059203395946
inh; inh	-0.07752907409465248	0.9618514085019128	-0.07321749949187611	0.9465331124022968
iqu	-0.0909383677281058	-1.7510345370968872	-0.08166663205515377	-1.7555865641029107
ilm; ilp	-0.08012071889979278	0.8979107352379342	-0.0748504826387983	0.8828461919713492
irk	-0.06613406439586098	1.144976174289317	-0.06603755771890077	1.1289311353240943
irh	-0.09077525865425848	-0.3483763431779698	-0.08156385779836732	-0.3584949129229399
iry	-0.09052843533948321	-0.07559091098129814	-0.08140833559389854	-0.08679204793577663
gle; gle	-0.08490374336794616	0.7241538013070797	-0.0511662653239219	1.327213110562892
oss; oss; oss; oss	-0.0668786480620997	1.1359017195600516	-0.06650671636904826	1.119892693174588
iru	-0.0904502746231377	-0.02380020889946156	-0.08135908689581675	-0.03520688071472687
isc	-0.09093643427880672	-1.5023133874538293	-0.08166541379788543	-1.5078524809565732
inn	-0.09071931203624276	-0.2612514045143357	-0.08152860609868773	-0.2717157353982646
srl	-0.09086576053634274	-0.5860450065890898	-0.08162088260667254	-0.5952203723672473
isd	-0.08959873418716303	0.2762535531108932	-0.08082253529039947	0.26365609789775263
nhk	-0.09072836222445117	-0.2737282032995993	-0.08153430857951825	-0.2841430191741093
