ISO_639	Language_ID	L2_prop	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
tft	tern1247	0.3225806451612903	-0.2038732695751512	-0.27809580495577263	0	-0.2103743622533016	-0.3240887867828537
tdt	tetu1246	0.8820754716981132	-0.20377014168313207	-0.23746597835682848	1	-0.20749275374027887	0.13956905162771405
tha	thai1261	0.6644518272425249	0.055983236340060305	1.161078477404616	1	0.26833882215598226	1.3347021694876402
ths	thak1245	0.12666666666666668	-0.2043471422389791	-0.7630871002622459	0	-0.21082013594592391	-0.887260207004692
thf	than1259	0.016115351993214587	-0.20411562012139614	-0.4164025506719444	0	-0.21068019484741854	-0.5572239840394122
tdh	thul1246	0.07174887892376682	-0.20414784758765214	-0.44297183539417323	0	-0.21069038396039277	-0.5706832792545247
bod	tibe1272	0.13424124513618677	-0.204357326118316	-0.8011614367289253	1	-0.21082698175620346	-0.9245630528703083
tvo	tido1248	0.43478260869565216	-0.20407952535918947	-0.38985045362670395	0	-0.2105017261654794	-0.39607311577684867
tem	timn1235	0.12834224598930483	-0.1834023830093532	0.5745016690269725	1	-0.1959822401772102	0.49744599910991244
tpi	tokp1240	0.970402717127608	-0.20284199065495986	-0.029600570351070863	1	-0.17805576953818483	0.6880617517566435
tsb	tsam1247	0.0625	-0.2041826532512086	-0.4755397897009897	0	-0.21071506071837723	-0.6067780517352774
tso	tson1249	0.5985915492957746	-0.1750232417827986	0.652707633884452	1	-0.16565370858987155	0.7653819018266743
tsn; tsn	tswa1253	0.5759354365370506	-0.12990478902442773	0.8694847651175596	1	-0.10236976472652713	0.9764777969658592
tun	tuni1252	1	-0.20441469100825163	-2.7588745983898058	0	-0.21086764268516622	-2.142077007899393
ukr	ukra1253	0.18831168831168832	0.11785997155154038	1.2107602908467074	1	0.0343076335292746	1.1730844530734215
vie	viet1252	0.9109806798728295	-0.20347622719087752	-0.14991724371385556	0	-0.20435800945180277	0.29798545714157876
wkw	waka1274	1	-0.20441469100825163	-2.7588745983898058	0	-0.21086788149250155	-2.7203623713899967
wme	wamb1257	0.060542797494780795	-0.20424066269046937	-0.5425759163024731	0	-0.2107535086993659	-0.6766552597677805
wsa	ware1253	0.03225806451612903	-0.2044069564163502	-1.2677680176339923	0	-0.21086296206139368	-1.4343040264991584
vay	wayu1241	0.02875399361022364	-0.20439509670876801	-1.0513869591694212	0	-0.21085543963033068	-1.2112399269226877
pes	west2369	0.25426136363636365	0.4723621003673115	1.3836588158058591	1	0.3495333161693298	1.372449335287297
tdg	west2415	0.09396914446002805	-0.20025090236797913	0.197289929161006	0	-0.208030070244779	0.09775155809764283
wim	wikm1247	0.5714285714285714	-0.20440889006432555	-1.3346792459348809	0	-0.2108595391562539	-1.3074118026769368
wal	wola1242	0.036359219369989475	-0.17373414313255944	0.6627107345390375	1	-0.19120768551944492	0.5645374142370442
xan	xamt1239	0.049107142857142856	-0.2016689108832422	0.10026316107796675	0	-0.20908480264250137	-0.014313977560469227
xho	xhos1239	0.5744125326370757	-0.09935315101375944	0.9495594364384566	1	-0.058429215025186096	1.0584805664821337
ybh	yakk1236	0.07064959696538643	-0.20416202767280475	-0.45569596340939617	0	-0.21070001585625123	-0.5841366246675622
ybi	yamp1242	0.03459119496855346	-0.2042959650225646	-0.6316810202761138	0	-0.21079195668035458	-0.7754392955345154
yuc	yuch1247	0.75	-0.20441463944430563	-2.3838167166045903	0	-0.2108677700490784	-2.302039514172103
yue	yuec1235	0.06034223956769739	-0.12371711550327973	0.8880756040745071	1	-0.15783674847995907	0.8038399152340603
zne	zand1248	0.09090909090909091	-0.19152370450585995	0.4606447509912616	1	-0.20211162845076683	0.3694778021438008
nbl; zul	zulu1248	0.5740181268882175	-0.04082807229290122	1.0527471673996993	1	0.02626778657305097	1.1650435908261123
