Glottocode	L2_prop	L1_scaled	L1_log10_scaled	All_users_scaled	All_Users_log10_scaled	number_of_lgs_in_ethnologue	ISO_639
unua1237	0	-0.08860974241249707	-0.4809423155425947	-0.07962165337546435	-0.6167395512558111	1	onu
uppe1275	0	-0.08851492351071655	-0.19668424297492565	-0.07956766663188923	-0.31027870400882834	1	tku
uppe1427	NA	NA	NA	NA	NA	1	dmg
uppe1439	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	cjh
urak1238	0	-0.08844103310527497	-0.09039178437829153	-0.07952559588126536	-0.19568397456720513	1	urk
urar1246	0	-0.08844743978782771	-0.09801629645910508	-0.07952924363420963	-0.20390402056633763	1	ura
urav1235	0	-0.08865433292306413	-1.7356915435222202	-0.07964704173595645	-1.9694944898076228	1	uur
urim1252	0	-0.08848374432229322	-0.14624763662657955	-0.07954991423422714	-0.25590260494449263	1	uri
urip1239	0	-0.08827018823720195	0.05674989258862181	-0.07942832246941828	-0.03704938388944186	1	upv
urni1239	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	urc
urua1242	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	urv
uruu1244	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	ure
usan1239	0	-0.08859479348654069	-0.408975024286982	-0.07961314195192774	-0.5391510527022121	1	wnu
utes1238	0	-0.08857343787803156	-0.3325637671032798	-0.07960098277544686	-0.45677147978735694	1	ute
uuuu1243	0	-0.08737325267981864	0.3581686438377443	-0.07891763705722107	0.28791252501797804	1	uuu
vano1237	0	-0.08865441834549816	-1.819933972208034	-0.07964709037266238	-2.0603169098571086	1	vnk
veps1250	0	-0.0885845427944563	-0.3693866927014237	-0.07960730554721691	-0.4964705633524627	1	vep
vera1241	0	-0.08863323358185711	-0.6664389870842219	-0.07963502846959333	-0.8167249610232312	1	vra
viem1243	0	-0.0883128994542202	0.027264074722373	-0.07945264082238004	-0.06883827432775898	1	vig
viet1252	0.00969521119032987	3.1615434549206705	2.3206995369828696	1.7890251497435512	2.406362155377119	1	vie
vinm1237	0	-0.08863323358185711	-0.6664389870842219	-0.07963502846959333	-0.8167249610232312	1	vnm
voti1245	0	-0.08865352140994077	-1.4071599255646248	-0.07964657968725018	-1.6153019876307888	1	vot
vunj1238	0	-0.08804808990870704	0.17091260990235657	-0.07930186703401707	0.08603033291844674	1	vun
vure1239	0	-0.08856916675632973	-0.3197280693681742	-0.07959855094015068	-0.4429332138504407	1	msn
vwan1235	0	-0.08686926031900324	0.4412136326155298	-0.07863068049227218	0.3774439757541672	1	wbi
wadj1254	0	-0.08865437563428115	-1.7742861918730637	-0.0796470660543094	-2.0111036815043093	1	wdj
waga1260	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wga
wage1238	0	-0.08865382038845991	-1.4856902518671735	-0.0796467499157209	-1.6999661455063124	1	waq
waig1244	0	-0.08861187797334798	-0.4931459800554068	-0.07962286929311245	-0.6298964172414693	1	wgo
waim1251	0	-0.0881420545861472	0.12876979198973415	-0.07935536741053296	0.04059583191653383	1	rro
waim1252	0	-0.08759107988661173	0.31151908596486816	-0.07904166065732611	0.237619272480654	1	wmh
waim1253	0	-0.08856873964415955	-0.31847996295540015	-0.07959830775662106	-0.4415876205828227	1	atr
waiw1244	0	-0.08855934317641553	-0.29248713783199043	-0.07959295771896947	-0.4135645528904654	1	waw
waja1257	0	-0.08865373496602587	-1.4606323935880436	-0.07964670127901498	-1.6729510728680888	1	wbv
waja1259	0	-0.08609191616927105	0.5317074728004746	-0.07818808646836793	0.4750060913458336	1	wja
waka1274	1	-0.08865458919036623	-2.222888343492784	-0.07964713900936829	-2.1982017464772077	1	wkw
wala1266	0	-0.08835646489557883	-0.00687992326791805	-0.07947744554240105	-0.10564918512436589	1	lgl
wall1257	0	-0.08765685516081984	0.29553548940867874	-0.07907911092088724	0.2203872322489814	1	wls
walm1241	0	-0.08864263004960113	-0.8112155828917472	-0.07964037850724492	-0.9728097392387948	1	wmt
wamb1257	0.06054279749478079	-0.08807798776061981	0.15825676874659747	-0.07929773291401357	0.08924241944251946	1	wme
wamb1258	0	-0.08865198380612813	-1.1895792431632524	-0.07964570422654355	-1.3807265552745882	1	wmb
wamb1259	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	wms
wand1267	0	-0.08844103310527497	-0.09039178437829153	-0.07952559588126536	-0.19568397456720513	1	wad
wand1278	0	-0.08679665125007222	0.45119428324997407	-0.07858933929223716	0.3882041931224172	1	mfi
wang1291	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wyb
wanm1242	0	-0.08865446105671518	-1.8758023401216952	-0.07964711469101533	-2.120549033470945	1	wbt
wann1242	0	-0.08771494241596467	0.28051830450683707	-0.07911218388091525	0.2041970879666676	1	wan
waor1240	0	-0.08858411568228612	-0.36786560887392866	-0.0796070623636873	-0.4948306710028907	1	auc
wapi1253	0	-0.08812069897763807	0.13898954507114977	-0.07934320823405208	0.0516138274995441	1	wap
wapp1239	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	wao
wara1292	0	-0.08846238871378409	-0.11676529488505012	-0.07953775505774625	-0.2241174621433737	1	wbf
wara1294	0	-0.08861486775853926	-0.5112966519260451	-0.07962457157781977	-0.6494647982880749	1	tci
wara1300	0	0.02282168722727469	1.4762881482095571	-0.01617628641585053	1.493365891875626	1	war
wara1303	0	-0.0872493901504657	0.38127083477100215	-0.07884711383363194	0.3128191774226599	1	wba
ward1246	0	-0.08865245362951532	-1.2384786228099005	-0.07964597172842613	-1.4334453582306454	1	wrr
ware1253	0.03225806451612903	-0.08862896246015528	-0.6208745105689896	-0.07963211026723792	-0.7587652238348555	1	wsa
wari1268	0	-0.08853841468007659	-0.24277636229066216	-0.0795810417260182	-0.35997097768575975	1	pav
warj1242	0	-0.08576731091993232	0.5615669419694511	-0.07800326698585847	0.5071978181707291	1	aml
warl1254	0	-0.08855635339122425	-0.2847522446851347	-0.07959125543426214	-0.4052255042022844	1	wbp
warl1255	0	-0.08865347869872377	-1.3977108936902554	-0.07964655536889721	-1.60511491259814	1	wrl
warl1256	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wrb
waro1242	0	-0.08839832188825672	-0.04475234816782969	-0.07950127752830359	-0.14647974208018175	1	wrp
warr1255	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	wgy
warr1258	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wwr
waru1264	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	wrg
waru1265	0	-0.0886409216009204	-0.7778947769745518	-0.07963940577312645	-0.9368863182428788	1	wrm
wash1253	0	-0.08865416207819606	-1.622528196268586	-0.0796469444625446	-1.8474922016636424	1	was
wask1241	0	-0.08780036485000117	0.2566566682423838	-0.07916082058683879	0.17847167162141017	1	wsk
wath1238	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wth
waur1244	0	-0.0886409216009204	-0.7778947769745518	-0.07963940577312645	-0.9368863182428788	1	wau
wawa1246	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	www
waya1269	0	-0.08858027167275448	-0.3545763656182829	-0.07960487371192074	-0.4805034340994358	1	way
wayu1241	0.02875399361022364	-0.08858966814049848	-0.3883992111392016	-0.07960912942368904	-0.5090980037617596	1	vay
wayu1243	0	-0.07088672291077289	1.0165048019377816	-0.06953075281397726	0.9976698767168728	1	guc
weda1241	0	-0.08853926890441695	-0.2446234354257353	-0.07958152809307743	-0.3619623216528406	1	wed
wels1247	0	-0.06429723634919679	1.0954817873684106	-0.06577891731903515	1.0828155812854614	1	cym
weri1253	0	-0.08835988179294028	-0.00976564462915742	-0.079479391010638	-0.10876030385283614	1	wer
west2354	0	-0.05127800317769283	1.2026925873835916	-0.05836619696922796	1.1984003817799405	1	fry
west2369	0.24130441347120307	2.3151395383916484	2.245171144498999	1.7242921259946116	2.3968458210466643	1	pes
west2386	0	2.70106699045216	2.282449534811283	1.5087279225696986	2.3624947764984334	1	pnb
west2392	0	-0.08737325267981864	0.3581686438377443	-0.07891763705722107	0.28791252501797804	1	mrj
west2396	0	-0.0883128994542202	0.027264074722373	-0.07945264082238004	-0.06883827432775898	1	lcp
west2397	0	-0.0808384364760259	0.8109022532577791	-0.07519692905407004	0.7760081638393505	1	brv
west2415	0.09396914446002803	-0.07485886609347044	0.953153212929386	-0.07097769481520268	0.9560067162935708	1	tdg
west2417	0	-0.08816341019465632	0.1181150642226929	-0.07936752658701385	0.02910888672908938	1	wmg
west2418	0	-0.07549953434874423	0.9412475388710344	-0.0721571349338486	0.9165344338687756	1	mrd
west2430	0	-0.05363139123539859	1.1864101119703965	-0.05970613821742156	1.1808461179191734	1	mmr
west2441	0	-0.0886357962548782	-0.6983764436833032	-0.07963648757077105	-0.8511569823194364	1	are
west2466	0	-0.08736471043641499	0.35983218025847	-0.07891277338662872	0.28970599662044405	1	kza
west2516	0	-0.0885597702885857	-0.2936118909720619	-0.07959320090249909	-0.41477715803175985	1	uve
west2519	0	-0.08501986462211289	0.6192060388710792	-0.07757769580902746	0.56933897853063	1	wyy
west2538	0	-0.08831674346375185	0.02443180890937163	-0.0794548294741466	-0.0718917622123447	1	txn
west2548	0	-0.08862042021675164	-0.5489518258990939	-0.0796277329637048	-0.690061135323555	1	drn
west2555	0	-0.08801392093509244	0.18463398738920253	-0.07928241235164765	0.10082345711024414	1	mbb
west2557	0	-0.08331568706308458	0.7154688922213635	-0.07660739352585277	0.6731207122547175	1	suc
west2560	0	-0.08819757916827092	0.10006421696916327	-0.07938698126938326	0.00964812738152269	1	bdr
west2564	0	-0.08861187797334798	-0.4931459800554068	-0.07962286929311245	-0.6298964172414693	1	zbw
west2594	0	-0.08096657012708065	0.8067638408808059	-0.07526988411295535	0.771546509147019	1	dnw
west2599	0	-0.08673258442454485	0.4596820102788941	-0.0785528617627945	0.39735487789624974	1	kew
west2600	0	-0.0881420545861472	0.12876979198973415	-0.07935536741053296	0.04059583191653383	1	mqs
west2615	0	-0.0880566321521107	0.16736145998039242	-0.07930673070460942	0.08220181046363723	1	apw
west2618	0	-0.08861102374900762	-0.48819290797968834	-0.07962238292605321	-0.6245564715678467	1	ikt
west2624	0	-0.07157010238306494	1.0066851506530667	-0.0699198464613656	0.987083234004493	1	nhw
west2632	0	-0.08848417143446341	-0.14687418757396414	-0.07955015741775676	-0.25657809441237106	1	kjq
west2635	0	-0.08588134986937106	0.5514776447896763	-0.07806819698826639	0.496320468113751	1	knj
west2644	0	-0.08797120971807418	0.20079142977304004	-0.07925809399868587	0.11824292188592396	1	ctp
west2650	0	-0.07622562503805455	0.927032471223654	-0.0725705469341987	0.9012090584606512	1	cja
west2763	0	-0.087719213537666485	0.27937771837901604	-0.07911461571621142	0.2029674131576717	1	amw
west2778	0	-0.0886161490950498	-0.5194972636431509	-0.07962530112840863	-0.6583059418027222	1	azn
whit1269	0	-0.08833425506272934	0.01110767534322787	-0.07946479999886093	-0.08625661463193719	1	tnp
wikm1247	0.5714285714285714	-0.08863536914270802	-0.6927625397007583	-0.07962165337546435	-0.6167395512558111	1	wim
wila1240	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	wil
wint1259	0	-0.08865456783475772	-2.1361168426500123	-0.07964717548689773	-2.4011961309302925	2	nol, wnw
wira1262	0	-0.08865330785385568	-1.363122244848797	-0.07964645809548537	-1.567824620247486	1	wrh
wira1265	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	wgu
wiru1244	0	-0.08780036485000117	0.2566566682423838	-0.07916082058683879	0.17847167162141017	1	wiu
woii1237	0	-0.08857770899973338	-0.3460932403835523	-0.07960341461074304	-0.4713577105558453	1	wbw
woiw1237	NA	-0.08865458919036623	-2.222888343492784	NA	NA	2	dgw, wyi
wola1242	0.03635921936998947	0.01299810731307644	1.4531916259905129	-0.0195857195010909	1.4784624915305529	1	wal
wola1253	0	-0.0856648039990885	0.5703015250423819	-0.07794490293875021	0.5166146403728225	1	wle
wole1240	0	-0.08858496990662648	-0.3709170741650472	-0.07960754873074653	-0.4981204795561318	1	woe
woli1241	0	-0.08587836008417978	0.551747414756266	-0.07806649470355907	0.4966113092208341	1	wlo
wood1236	0	-0.08857600055105265	-0.3405934118135111	-0.07960244187662456	-0.46542830243714794	1	cwd
worr1237	0	-0.08865443970110667	-1.9625738409644677	-0.0796470174176035	-1.9334509684980472	2	jbw, wro
wotu1240	0	-0.08864391138611168	-0.8394827470731148	-0.07964110805783378	-1.0032847896253736	1	wtw
woun1238	0	-0.0881933080465691	0.10239303692118636	-0.07938454943408708	0.01215884635296992	1	noa
wuch1236	7.749456407413125e-4	3.402935721479243	2.3386363618334	1.9098905253494407	2.4232794920044585	1	wuu
wudi1238	0	-0.07797678493580293	0.8890108924344049	-0.07356759940563133	0.8602176975322915	1	ywq
wuna1249	0	-0.08865420478941308	-1.6463909705224895	-0.07964696878089757	-1.8732188448842104	1	wub
wusa1235	0	-0.06302785897941429	1.1082010902607762	-0.0650561758690113	1.0965283610337215	1	yig
wutu1241	0	-0.08848374432229322	-0.14624763662657955	-0.07954991423422714	-0.25590260494449263	1	wuh
wuvu1239	0	-0.08858625124313703	-0.37556515867252366	-0.07960827828133539	-0.5031316157513852	1	wuv
wyan1247	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	wya
xamt1239	0.04910714285714285	-0.0795570999654783	0.8489096755196529	-0.0741998765826374	0.8305759956761033	1	xan
xara1244	0	-0.08840985391685165	-0.05627838599981327	-0.07950784348360326	-0.15890605345098577	1	ane
xava1240	0	-0.08784307606701942	0.24381504404578835	-0.07918513893980056	0.16462701632009366	1	xav
xhos1239	0.5734154186193199	0.2608641130351054	1.762396791154403	0.38685907272547754	2.031783369022615	1	xho
xish1235	0	-0.0795570999654783	0.8489096755196529	-0.07446737846521688	0.8169842625050264	1	ywt
xokl1240	0	-0.08865031806866441	-1.0674023369188783	-0.07964475581077804	-1.2490066788135503	1	xok
yaak1241	0	-0.08865416207819606	-1.622528196268586	-0.0796469444625446	-1.8474922016636424	1	muu
