"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"184","L1 speakers (nonlinear)","fusion","Intercept",0.22,0.36,0.51,272.96,"L2"
"185","L1 speakers (nonlinear)","fusion","social SD:
L1",0,0.01,0.03,272.96,"L2"
"186","L1 speakers (linear)+L2 proportion (linear)","fusion","Intercept",0.22,0.4,0.58,275.12,"L2"
"187","L1 speakers (linear)+L2 proportion (linear)","fusion","L1",-0.01,0.16,0.32,275.12,"L2"
"188","L1 speakers (linear)+L2 proportion (linear)","fusion","L2 proportion",-0.54,0.04,0.62,275.12,"L2"
"189","L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","Intercept",0.17,0.37,0.58,275.32,"L2"
"190","L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","social SD:
L1",0,0.01,0.03,275.32,"L2"
"191","L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","social SD:
L2 proportion",0,0.01,0.03,275.32,"L2"
"192","L1_log10:L2 proportion (linear)","fusion","Intercept",0.17,0.35,0.53,275.84,"L2"
"193","L1_log10:L2 proportion (linear)","fusion","L1*L2 proportion",-0.05,0.05,0.16,275.84,"L2"
"194","L2 proportion (nonlinear)","fusion","Intercept",0.22,0.42,0.62,276.27,"L2"
"195","L2 proportion (nonlinear)","fusion","social SD:
L2 proportion",0,0.01,0.03,276.27,"L2"
"196","L2 proportion (linear)","fusion","Intercept",0.21,0.39,0.57,276.5,"L2"
"197","L2 proportion (linear)","fusion","L2 proportion",-0.51,0.07,0.66,276.5,"L2"
"198","Phylogenetic+Spatial: local","informativity","phylogenetic SD",0.03,0.19,0.7,281.18,"L2"
"199","Phylogenetic+Spatial: local","informativity","spatial SD",0.26,0.48,0.75,281.18,"L2"
"200","Phylogenetic+Spatial: local","informativity","Intercept",0.03,0.15,0.27,281.18,"L2"
"201","Spatial: local","informativity","spatial SD",0.23,0.43,0.68,287.7,"L2"
"202","Spatial: local","informativity","Intercept",0.02,0.15,0.28,287.7,"L2"
"203","Phylogenetic+Spatial: regional","informativity","phylogenetic SD",0.04,0.22,0.68,289.22,"L2"
"204","Phylogenetic+Spatial: regional","informativity","spatial SD",0.15,0.4,0.79,289.22,"L2"
"205","Phylogenetic+Spatial: regional","informativity","Intercept",0.02,0.15,0.29,289.22,"L2"
"206","Areal","informativity","areal SD",0.11,0.28,0.58,291.11,"L2"
"207","Areal","informativity","Intercept",-0.05,0.19,0.45,291.11,"L2"
"208","Phylogenetic+Areal","informativity","phylogenetic SD",0.02,0.15,0.62,291.26,"L2"
"209","Phylogenetic+Areal","informativity","areal SD",0.12,0.3,0.61,291.26,"L2"
"210","Phylogenetic+Areal","informativity","Intercept",-0.06,0.2,0.49,291.26,"L2"
"211","Spatial: regional","informativity","spatial SD",0.08,0.31,0.71,292.27,"L2"
"212","Spatial: regional","informativity","Intercept",0.01,0.15,0.29,292.27,"L2"
"213","Phylogenetic","informativity","phylogenetic SD",0.02,0.16,0.72,297.19,"L2"
"214","Phylogenetic","informativity","Intercept",0,0.15,0.3,297.19,"L2"
"215","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","phylogenetic SD",0.03,0.17,0.66,282.23,"L2"
"216","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","spatial SD",0.26,0.48,0.75,282.23,"L2"
"217","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","Intercept",-0.1,0.09,0.28,282.23,"L2"
"218","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)","informativity","L1*L2 proportion",-0.08,0.06,0.19,282.23,"L2"
"219","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","phylogenetic SD",0.03,0.18,0.68,282.59,"L2"
"220","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","spatial SD",0.26,0.48,0.75,282.59,"L2"
"221","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","Intercept",-0.09,0.1,0.29,282.59,"L2"
"222","Phylogenetic+Spatial: local+L2 proportion (linear)","informativity","L2 proportion",-0.47,0.24,0.95,282.59,"L2"
"223","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","phylogenetic SD",0.03,0.17,0.7,283.71,"L2"
"224","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","spatial SD",0.25,0.47,0.73,283.71,"L2"
"225","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","Intercept",-0.01,0.2,0.42,283.71,"L2"
"226","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,283.71,"L2"
"227","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","phylogenetic SD",0.04,0.21,0.76,283.99,"L2"
"228","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","spatial SD",0.25,0.46,0.73,283.99,"L2"
"229","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","Intercept",0.03,0.15,0.28,283.99,"L2"
"230","Phylogenetic+Spatial: local+L1 speakers (linear)","informativity","L1",-0.25,-0.04,0.17,283.99,"L2"
"231","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","phylogenetic SD",0.04,0.21,0.76,284.45,"L2"
"232","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","spatial SD",0.24,0.45,0.71,284.45,"L2"
"233","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","Intercept",0.03,0.16,0.3,284.45,"L2"
"234","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,284.45,"L2"
"235","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","phylogenetic SD",0.03,0.19,0.72,285.31,"L2"
"236","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","spatial SD",0.25,0.46,0.73,285.31,"L2"
"237","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","Intercept",-0.09,0.1,0.29,285.31,"L2"
"238","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","L1",-0.25,-0.04,0.17,285.31,"L2"
"239","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","informativity","L2 proportion",-0.48,0.24,0.94,285.31,"L2"
"240","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","phylogenetic SD",0.03,0.19,0.73,285.85,"L2"
"241","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","spatial SD",0.24,0.45,0.72,285.85,"L2"
"242","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","Intercept",-0.01,0.21,0.43,285.85,"L2"
"243","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,285.85,"L2"
"244","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,285.85,"L2"
"245","L1_log10:L2 proportion (linear)","informativity","Intercept",-0.12,0.08,0.27,296.98,"L2"
"246","L1_log10:L2 proportion (linear)","informativity","L1*L2 proportion",-0.05,0.07,0.19,296.98,"L2"
"247","L2 proportion (nonlinear)","informativity","Intercept",0,0.22,0.44,297.25,"L2"
"248","L2 proportion (nonlinear)","informativity","social SD:
L2 proportion",0,0.01,0.03,297.25,"L2"
"249","L2 proportion (linear)","informativity","Intercept",-0.12,0.08,0.28,297.28,"L2"
"250","L2 proportion (linear)","informativity","L2 proportion",-0.32,0.32,0.96,297.28,"L2"
